coordenador_norm,fapes_faixa,fapes_pct,fapes_n_proj,bolsas_faixa,bolsas_n,artigos,orient_m,orient_d,citacoes_oa,fwci,top10
adilson ribeiro prado,≤ R$ 100 mil,0.0,1,sem valor,0,32,1,0,728,1.88,18
bruno cardoso coutinho,R$ 100–500 mil,0.4,1,sem valor,0,1,1,0,3,0.56,1
cassius zanetti resende,R$ 500 mil–1 mi,2.0,3,R$ 100–500 mil,14,5,14,0,68,2.31,2
cristina klippel dominicini,R$ 100–500 mil,0.3,3,sem valor,0,12,9,1,227,3.16,8
daniel cruz cavalieri,≤ R$ 100 mil,0.1,1,≤ R$ 100 mil,2,17,31,0,144,1.42,6
danilo de paula e silva,R$ 100–500 mil,0.3,2,≤ R$ 100 mil,1,4,4,0,92,2.5,3
edilson luiz do nascimento,R$ 500 mil–1 mi,1.4,1,R$ 100–500 mil,28,0,0,0,,,
eglalciane de lyrio tongo castro,≤ R$ 100 mil,0.2,1,sem valor,4,,,,,,
emmanuel marques silva,≤ R$ 100 mil,0.2,2,≤ R$ 100 mil,6,14,0,0,43,1.02,4
evinilton sidney da costa cande,≤ R$ 100 mil,0.1,1,sem valor,0,,,,,,
fabiano borges ruy,≤ R$ 100 mil,0.1,1,sem valor,0,6,2,0,63,1.57,3
felipe frechiani de oliveira,R$ 100–500 mil,0.3,1,≤ R$ 100 mil,10,,,,,,
flavio barcelos braz da silva,R$ 100–500 mil,0.5,1,sem valor,0,5,11,0,35,0.65,1
flavio garcia pereira,≤ R$ 100 mil,0.1,1,sem valor,0,9,17,0,65,0.95,6
francisco de assis boldt,R$ 500 mil–1 mi,1.6,4,R$ 100–500 mil,11,13,7,0,533,4.67,9
francisco jose casarim rapchan,R$ 1–5 mi,6.1,5,R$ 1–5 mi,63,3,1,0,0,0,0
gabriel tozatto zago,R$ 100–500 mil,0.7,3,≤ R$ 100 mil,5,6,2,0,443,5.61,3
gilmar luiz vassoler,R$ 1–5 mi,2.3,2,sem valor,0,4,2,0,61,3.96,2
gustavo maia de almeida,R$ 500 mil–1 mi,1.6,8,R$ 100–500 mil,13,22,27,0,59,0.49,10
hilario seibel junior,≤ R$ 100 mil,0.0,1,sem valor,0,1,4,0,61,2.59,1
hilario tomaz alves de oliveira,R$ 500 mil–1 mi,1.6,1,≤ R$ 100 mil,6,5,7,1,84,3.18,3
jefferson oliveira andrade,R$ 500 mil–1 mi,1.2,4,R$ 100–500 mil,12,17,10,0,18,0.15,4
jose geraldo das neves orlandi,R$ 5–20 mi,14.1,6,R$ 1–5 mi,392,,,,,,
karin satie komati,R$ 5–20 mi,11.6,6,R$ 100–500 mil,16,29,28,1,74,0.86,8
leandro colombi resendo,R$ 500 mil–1 mi,2.0,2,R$ 100–500 mil,21,13,27,0,34,0.55,4
leonardo aguiar do amaral,R$ 100–500 mil,0.3,2,R$ 100–500 mil,33,0,0,0,,,
luiz alberto pinto,≤ R$ 100 mil,0.1,2,sem valor,0,8,13,0,52,1.34,3
marco antonio de souza leite cuadros,R$ 1–5 mi,3.3,10,R$ 100–500 mil,19,29,19,0,388,1.29,17
marcos simao guimaraes,≤ R$ 100 mil,0.2,1,≤ R$ 100 mil,21,0,0,0,,,
marta talitha carvalho freire mendes,≤ R$ 100 mil,0.0,1,sem valor,0,2,0,0,9,1.16,1
mateus conrad barcellos da costa,R$ 5–20 mi,11.9,3,R$ 1–5 mi,358,2,5,0,3,0.13,1
maxwell eduardo monteiro,R$ 1–5 mi,8.5,6,R$ 1–5 mi,129,13,6,1,83,3.4,9
paulo sergio dos santos junior,R$ 5–20 mi,24.0,1,R$ 1–5 mi,170,5,0,0,107,4.75,4
renner sartorio camargo,R$ 1–5 mi,2.3,2,R$ 100–500 mil,55,6,0,0,53,1.12,4
richard junior manuel godinez tello,≤ R$ 100 mil,0.2,3,≤ R$ 100 mil,6,8,5,0,78,1.04,0
rogerio passos do amaral pereira,≤ R$ 100 mil,0.0,1,sem valor,0,0,0,0,,,
rosiane ribeiro rocha,≤ R$ 100 mil,0.1,1,≤ R$ 100 mil,9,2,0,0,20,1.31,1
rosilene de sa ribeiro,≤ R$ 100 mil,0.0,1,sem valor,0,5,0,0,206,2.4,1
samela pedrada cardoso,≤ R$ 100 mil,0.0,1,sem valor,0,,,,,,
sergio nery simoes,≤ R$ 100 mil,0.0,1,≤ R$ 100 mil,3,10,3,0,246,1.23,8
victorio albani de carvalho,≤ R$ 100 mil,0.0,1,sem valor,0,6,1,0,134,3.43,4
